Bus,Periods,Thermal generation(MVAR),Renewable generation(MVAR),BESS discharging(MVAR),Demand response(MVAR),Load(MVAR),BESS charging(MVAR),Power flow delivered(MVAR),Error
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.27,0.0
4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.23,0.0
4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.44,0.0
4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.12,0.0
4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.13,0.0
4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.2,0.0
4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.82,0.0
4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.58,0.0
4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.78,0.0
4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.17,0.0
4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.84,0.0
4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,0.0
4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.29,0.0
4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.07,0.0
4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.67,0.0
4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.12,0.0
4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.58,0.0
4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.23,0.0
4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.95,0.0
4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0
4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04,0.0
4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.0
4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.9,0.0
4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.51,0.0
5.0,1.0,0.0,0.0,0.0,0.0,16.15,0.0,16.43,0.0
5.0,2.0,0.0,0.0,0.0,0.0,16.09,0.0,16.35,0.0
5.0,3.0,0.0,0.0,0.0,0.0,15.93,0.0,17.78,0.0
5.0,4.0,0.0,0.0,0.0,0.0,15.91,0.0,16.15,0.0
5.0,5.0,0.0,0.0,0.0,0.0,16.0,0.0,16.27,0.0
5.0,6.0,0.0,0.0,0.0,0.0,16.27,0.0,16.6,0.0
5.0,7.0,0.0,0.0,0.0,0.0,16.99,0.0,19.57,0.0
5.0,8.0,0.0,0.0,0.0,0.0,17.45,0.0,18.53,0.0
5.0,9.0,0.0,0.0,0.0,0.0,17.93,0.0,19.35,0.0
5.0,10.0,0.0,0.0,0.0,0.0,18.52,0.0,41.74,0.0
5.0,11.0,0.0,0.0,0.0,0.0,19.36,0.0,40.25,0.0
5.0,12.0,0.0,0.0,0.0,0.0,21.05,0.0,28.39,0.0
5.0,13.0,0.0,0.0,0.0,0.0,22.47,0.0,64.46,0.0
5.0,14.0,0.0,0.0,0.0,0.0,22.88,0.0,39.67,0.0
5.0,15.0,0.0,0.0,0.0,0.0,23.25,0.0,29.88,0.0
5.0,16.0,0.0,0.0,0.0,0.0,23.51,0.0,30.16,0.0
5.0,17.0,0.0,0.0,0.0,0.0,23.65,0.0,41.72,0.0
5.0,18.0,0.0,0.0,0.0,0.0,25.6,0.0,8.38,0.0
5.0,19.0,0.0,0.0,0.0,0.0,25.13,0.0,28.74,0.0
5.0,20.0,0.0,0.0,0.0,0.0,30.22,0.0,-18.49,0.0
5.0,21.0,0.0,0.0,0.0,0.0,24.02,0.0,-14.8,0.0
5.0,22.0,0.0,0.0,0.0,0.0,20.98,0.0,-14.18,0.0
5.0,23.0,0.0,0.0,0.0,0.0,20.55,0.0,22.03,0.0
5.0,24.0,0.0,0.0,0.0,0.0,20.28,0.0,22.26,0.0
6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0
6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0
6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.44,0.0
6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0
6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0
6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0
6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.42,0.0
6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.86,0.0
6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.38,0.0
6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.89,0.0
6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.5,0.0
6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.36,0.0
6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.05,0.0
6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.27,0.0
6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.16,0.0
6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.44,0.0
6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.34,0.0
6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.03,0.0
6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.24,0.0
6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.28,0.0
6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.11,0.0
6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.88,0.0
6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.89,0.0
6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.57,0.0
7.0,1.0,0.0,0.0,0.0,0.0,11.97,0.0,8.06,0.0
7.0,2.0,0.0,0.0,0.0,0.0,11.92,0.0,8.03,0.0
7.0,3.0,0.0,0.0,0.0,0.0,11.8,0.0,7.95,0.0
7.0,4.0,0.0,0.0,0.0,0.0,11.78,0.0,7.94,0.0
7.0,5.0,0.0,0.0,0.0,0.0,11.85,0.0,7.99,0.0
7.0,6.0,0.0,0.0,0.0,0.0,12.05,0.0,8.12,0.0
7.0,7.0,0.0,0.0,0.0,0.0,12.59,0.0,8.48,0.0
7.0,8.0,0.0,0.0,0.0,0.0,12.92,0.0,8.71,0.0
7.0,9.0,0.0,0.0,0.0,0.0,13.28,0.0,8.95,0.0
7.0,10.0,0.0,0.0,0.0,0.0,13.72,0.0,9.25,0.0
7.0,11.0,0.0,0.0,0.0,0.0,13.84,0.0,9.33,0.0
7.0,12.0,0.0,0.0,0.0,0.0,13.65,0.0,9.2,0.0
7.0,13.0,0.0,0.0,0.0,0.0,16.65,0.0,11.22,0.0
7.0,14.0,0.0,0.0,0.0,0.0,16.95,0.0,11.42,0.0
7.0,15.0,0.0,0.0,0.0,0.0,17.22,0.0,11.6,0.0
7.0,16.0,0.0,0.0,0.0,0.0,17.42,0.0,11.74,0.0
7.0,17.0,0.0,0.0,0.0,0.0,17.52,0.0,11.81,0.0
7.0,18.0,0.0,0.0,0.0,0.0,20.52,0.0,13.83,0.0
7.0,19.0,0.0,0.0,0.0,0.0,20.17,0.0,13.59,0.0
7.0,20.0,0.0,0.0,0.0,0.0,21.9,0.0,14.76,0.0
7.0,21.0,0.0,0.0,0.0,0.0,18.39,0.0,12.4,0.0
7.0,22.0,0.0,0.0,0.0,0.0,15.89,0.0,10.71,0.0
7.0,23.0,0.0,0.0,0.0,0.0,15.22,0.0,10.26,0.0
7.0,24.0,0.0,0.0,0.0,0.0,15.02,0.0,10.12,0.0
8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.47,0.0
8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.34,0.0
8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0
8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.04,0.0
8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.37,0.0
8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.15,0.0
8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.01,0.0
8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.71,0.0
8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.63,0.0
8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.78,0.0
8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.94,0.0
8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.21,0.0
8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.76,0.0
8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.94,0.0
8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.29,0.0
8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.35,0.0
8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.74,0.0
8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.99,0.0
8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.65,0.0
8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.89,0.0
8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.43,0.0
8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.3,0.0
8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.55,0.0
8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0
9.0,1.0,0.0,0.0,0.0,0.0,18.54,0.0,15.72,0.0
9.0,2.0,0.0,0.0,0.0,0.0,18.49,0.0,15.65,0.0
9.0,3.0,0.0,0.0,0.0,0.0,18.34,0.0,15.45,0.0
9.0,4.0,0.0,0.0,0.0,0.0,18.37,0.0,15.48,0.0
9.0,5.0,0.0,0.0,0.0,0.0,18.53,0.0,15.71,0.0
9.0,6.0,0.0,0.0,0.0,0.0,18.9,0.0,16.23,0.0
9.0,7.0,0.0,0.0,0.0,0.0,19.6,0.0,17.2,0.0
9.0,8.0,0.0,0.0,0.0,0.0,20.11,0.0,17.91,0.0
9.0,9.0,0.0,0.0,0.0,0.0,20.53,0.0,18.49,0.0
9.0,10.0,0.0,0.0,0.0,0.0,21.2,0.0,26.85,0.0
9.0,11.0,0.0,0.0,0.0,0.0,22.12,0.0,28.7,0.0
9.0,12.0,0.0,0.0,0.0,0.0,22.83,0.0,25.73,0.0
9.0,13.0,0.0,0.0,0.0,0.0,25.55,0.0,26.43,0.0
9.0,14.0,0.0,0.0,0.0,0.0,25.96,0.0,34.18,0.0
9.0,15.0,0.0,0.0,0.0,0.0,26.35,0.0,29.63,0.0
9.0,16.0,0.0,0.0,0.0,0.0,26.61,0.0,34.02,0.0
9.0,17.0,0.0,0.0,0.0,0.0,26.72,0.0,27.13,0.0
9.0,18.0,0.0,0.0,0.0,0.0,32.38,0.0,35.03,0.0
9.0,19.0,0.0,0.0,0.0,0.0,32.01,0.0,34.51,0.0
9.0,20.0,0.0,0.0,0.0,0.0,34.2,0.0,37.56,0.0
9.0,21.0,0.0,0.0,0.0,0.0,30.86,0.0,32.9,0.0
9.0,22.0,0.0,0.0,0.0,0.0,30.54,0.0,32.46,0.0
9.0,23.0,0.0,0.0,0.0,0.0,25.95,0.0,26.05,0.0
9.0,24.0,0.0,0.0,0.0,0.0,23.54,0.0,22.69,0.0
